"GARCH(1,1)-N_cond_vol","GARCH(1,1)-t_cond_vol","EGARCH(1,1)-t_cond_vol","APARCH(1,1)-t_cond_vol"
0.8905376337347991,0.8957762828005147,0.862747909639084,0.8721045732754482
0.8679479510905233,0.8745537123583946,0.8397928049294724,0.8508766722815727
0.8447643925025751,0.8526460735348866,0.8112751657535457,0.8274899606254018
0.8722374771708031,0.8762914690183972,0.8517106946856221,0.8594320308622974
0.849813108068184,0.8552180852063859,0.8263230319386833,0.8373596642509629
0.8317882440350051,0.8379627947794074,0.8105869387668238,0.8212408888569025
0.8098183487509496,0.8170426159878443,0.7786446465307525,0.7975400616966453
0.7937573867786633,0.8013058844020666,0.7640664984549093,0.7829491483566009
0.811185024559734,0.8156999601848696,0.7933411221522974,0.804604297925932
0.7911103851628806,0.7965001481659466,0.7656438277823422,0.7831656472038067
0.8124798112423183,0.8146562577743185,0.7982362993471466,0.8081867167831204
0.8778735772992009,0.8733498749894516,0.8653373098006543,0.8703243687376045
0.8940750288489757,0.8880462536007225,0.8952824633899666,0.8913959993570274
0.8718373563141404,0.8677636173378608,0.8719722248233764,0.8698719295729114
0.850566040627748,0.8481732432729253,0.8488280121176919,0.8489891788091642
0.8943831404669529,0.8878396373343332,0.9006490869614338,0.8936046428601129
0.8679369945568604,0.8637408146952285,0.8545995776486285,0.8636370259170252
0.9071764584126413,0.8994759829056367,0.9041972829870814,0.9048135801007361
0.8850911692023594,0.8794724773053922,0.8829428097815049,0.883941408583139
0.8814027273250907,0.8760852596348323,0.8910086541999866,0.8848684064984467
1.3042719297894287,1.267946949395061,1.1484584342857604,1.1940775293262034
1.2709469797359416,1.2404667194182255,1.139767624226973,1.1734566020856079
1.234726609409459,1.2098743268867698,1.122221289407999,1.1474810592152178
1.1989537760585265,1.1792886020529738,1.1021571085687227,1.1207066645998136
1.1977326696310326,1.1801732489921293,1.1292793826392327,1.1332019594068572
1.4133541158486524,1.3816665333413052,1.3057473105312867,1.3207115184215918
1.370293956540894,1.3452298890100678,1.2806944979680077,1.2877216737835249
1.3369640466234234,1.317309436426266,1.2704780210845168,1.2662569484534811
1.458741895796892,1.4321412756537473,1.3954726462472846,1.3855240876395933
1.4633222790700964,1.4395534122628098,1.4321630311196627,1.405003465261669
1.4069628564075605,1.3906139595930527,1.3617071979259945,1.3487298899400242
1.3534590481785163,1.343815922141875,1.29593683388189,1.295518742402647
1.3021648029181045,1.2986006366028455,1.2260743138841397,1.2434190151549072
1.2783273329428522,1.2779357270961937,1.22699145984743,1.2308933230937866
1.233483632100785,1.2379752443323806,1.1813659832545071,1.1885350547700382
1.2422304499469807,1.246143921322877,1.2165701413543673,1.208399867853354
1.2128122648876656,1.2198320873034803,1.2033494929593898,1.1867696486239536
1.3228836872298193,1.319745946110582,1.3128523469159645,1.290496528652428
1.2738992420692852,1.2762664446615966,1.2520575503431508,1.2410115754227522
1.288726343501201,1.2902304147711485,1.2919196278338916,1.2658688766586246
1.2725687012084737,1.2761839513177036,1.2973715821684086,1.2592078771064164
1.2329971121499899,1.2407867943093398,1.2623229553819981,1.223280740728155
1.190054001248124,1.202055409465743,1.2121285184609059,1.180329694526806
1.1476309874638784,1.163499027684831,1.1544294187348454,1.135864069737626
1.141432041847446,1.1570984582108783,1.1677150224375963,1.1376596711671134
1.1012847380372965,1.120301707081061,1.1088598730325414,1.0945705968080486
1.066422261768608,1.0879716140169615,1.0715609915044138,1.0604536676970335
1.030704878597676,1.054680266767594,1.0229280178598814,1.0227059516330608
1.003228571065544,1.028499827326138,1.000019011992404,0.9979070034297697
0.9852923337749169,1.0106351336509305,0.9932419573627433,0.9847547011432839
0.9538200444905425,0.9807388004692508,0.946550973870556,0.9504664981318631
0.9497952395852266,0.9749526182070968,0.9571687810957252,0.9520252061120986
0.9542197436373289,0.9767778959313302,0.9762897657212523,0.9616736446628695
0.9258338845873885,0.9496720880519646,0.939369240497415,0.9316789859211109
0.8976008752317679,0.92256459911361,0.8932161267554669,0.8998149694799823
0.896969811215905,0.9197476054966995,0.9056281280253144,0.9038377963903718
0.8746109174400443,0.8978138879660069,0.8818522275374993,0.8816349913330268
0.8926261924129945,0.9116237827209638,0.9121048577989777,0.903084740939099
0.9146323616156845,0.9294486364682022,0.9457796694869793,0.9280262143545822
1.0040297007815926,1.0085223363629297,1.0293306728544491,1.0080309591455638
1.0789982096747879,1.0762433869251897,1.1066847798345147,1.0788517443610395
1.0599971338631855,1.0593268979839998,1.0996745382119983,1.0651986439239542
1.0242387831319766,1.027022751842274,1.0445806500020407,1.0260107074038203
0.9919310797537658,0.9975716348178622,1.0040367668658,0.9925365791316764
0.966228459890604,0.97384277339878,0.9808157197347632,0.9687053107977229
0.9442443457715777,0.9532794117949015,0.9635752042238718,0.9492481715616378
0.9149418985254835,0.9259925915631488,0.9158361575962073,0.9163685242348345
0.9760923957239968,0.9800155074227292,0.9824408617583833,0.9755538385264008
0.9831237687608781,0.9859542606847326,1.0051842636286472,0.9882082958210444
0.9563887833245805,0.9614147927654523,0.9779212492370049,0.9623185440815955
0.9370338352489002,0.9433396089689612,0.9646376789017844,0.9458366143098407
0.9236554755350513,0.9305201117045298,0.9597965197950358,0.9360363712913939
0.8955770626229181,0.9043763427806844,0.9129754171067637,0.9040313657618397
